蔡于纬 NM
市场专员 CO
23 AG
广东省广州市 LV
13511223344 TL
service@500d.me EM
2018.9-2021.6 ED_TM_0
华南师范大学附属中学 ED_SC_0
高中 ED_DG_0
基本会计 ED_ES_0
统计学 ED_ES_0
市场营销 ED_ES_0
国际 ED_ES_0
市场营销 ED_ES_0
市场调查与预测 ED_ES_0
商业心理学 ED_ES_0
广告学 ED_ES_0
公共关系学 ED_ES_0
货币银行学 ED_ES_0
经济法 ED_ES_0
国际贸易 ED_ES_0
大学英语 ED_ES_0
计算机应用等 ED_ES_0
2022.08至今 WE_TM_0
卓望信息科技有限公司 WE_OG_0
营运推广主管 WE_RL_0
负责社会化媒体营销团队的搭建工作 WE_WD_0
制定相关运营策略和指标 WE_WD_0
带领团队实施计划 WE_WD_0
网站常态运营活动规划和推进执行 WE_WD_0
相关数据报告和统计 WE_WD_0
为公司决策层提供决策依据 WE_WD_0
轻量级产品和应用的策划 WE_WD_0
统筹产品 WE_WD_0
技术团队成员实施 WE_WD_0
微博 WE_WD_1
微博 WE_WD_1
2021.8-2022.8 WE_TM_1
广州灵心沙文化活动有限公司 WE_OG_1
市场推广专员 WE_RL_1
网络推广渠道搭建维护 WE_WD_1
包括QQ空间 WE_WD_1
微博 WE_WD_1
豆瓣等 WE_WD_1
负责软硬广投放 WE_WD_1
网络舆情监控 WE_WD_1
公关稿撰写 WE_WD_1
事件营销策划 WE_WD_1
标书制作和撰写 WE_WD_1
甲方沟通工作 WE_WD_1
CET-6 SK
优秀的听说写能力 SK
计算机二级 SK
熟悉计算机各项操作 SK
高级营销员 SK
国家职业资格四级 SK
本人有丰富的营销知识体系做基础 SA
对于市场营销方面的前沿和动向有一定的了解 SA
善于分析和吸取经验 SA
熟悉网络推广 SA
尤其是社会化媒体方面 SA
有独到的见解和经验 SA
个性开朗 SA
容易相处 SA
团队荣誉感强 SA
